Date,Volume,TenWeek,Date
2016-04-03,17003747.0,,2016-04-03
2016-04-10,13410591.0,,2016-04-10
2016-04-17,15973495.0,,2016-04-17
2016-04-24,18706380.0,,2016-04-24
2016-05-01,27456468.0,,2016-05-01
2016-05-08,25386789.0,,2016-05-08
2016-05-15,27237496.0,,2016-05-15
2016-05-22,20779197.0,,2016-05-22
2016-05-29,13601340.0,,2016-05-29
2016-06-05,13275319.0,19283082.2,2016-06-05
2016-06-12,13256671.0,18908374.6,2016-06-12
2016-06-19,17564319.0,19323747.4,2016-06-19
2016-06-26,18532635.0,19579661.4,2016-06-26
2016-07-03,18466611.0,19555684.5,2016-07-03
2016-07-10,12744680.0,18084505.7,2016-07-10
2016-07-17,18473051.0,17393131.9,2016-07-17
2016-07-24,11980540.0,15867436.3,2016-07-24
2016-07-31,22516746.0,16041191.2,2016-07-31
2016-08-07,16645609.0,16345618.1,2016-08-07
2016-08-14,9049701.0,15923056.3,2016-08-14
2016-08-21,9416269.0,15539016.1,2016-08-21
2016-08-28,9347311.0,14717315.3,2016-08-28
2016-09-04,9515570.0,13815608.8,2016-09-04
2016-09-11,12432265.0,13212174.2,2016-09-11
2016-09-18,17316466.0,13669352.8,2016-09-18
2016-09-25,13385450.0,13160592.7,2016-09-25
2016-10-02,20245889.0,13987127.6,2016-10-02
2016-10-09,14299058.0,13165358.8,2016-10-09
2016-10-16,13886940.0,12889491.9,2016-10-16
2016-10-23,13909671.0,13375488.9,2016-10-23
2016-10-30,29554817.0,15389343.7,2016-10-30
2016-11-06,24739857.0,16928598.3,2016-11-06
2016-11-13,37329653.0,19710006.6,2016-11-13
2016-11-20,25789440.0,21045724.1,2016-11-20
2016-11-27,15303225.0,20844400.0,2016-11-27
2016-12-04,20564418.0,21562296.8,2016-12-04
2016-12-11,17454906.0,21283198.5,2016-12-11
2016-12-18,22354215.0,22088714.2,2016-12-18
2016-12-25,12386665.0,21938686.7,2016-12-25
2017-01-01,13237498.0,21871469.4,2017-01-01
2017-01-08,17847894.0,20700777.1,2017-01-08
2017-01-15,17663136.0,19993105.0,2017-01-15
2017-01-22,11941710.0,17454310.7,2017-01-22
2017-01-29,16377315.0,16513098.2,2017-01-29
2017-02-05,28953978.0,17878173.5,2017-02-05
2017-02-12,15135934.0,17335325.1,2017-02-12
2017-02-19,15760855.0,17165920.0,2017-02-19
2017-02-26,13274660.0,16257964.5,2017-02-26
2017-03-05,12351092.0,16254407.2,2017-03-05
2017-03-12,11630862.0,16093743.6,2017-03-12
2017-03-19,11829133.0,15491867.5,2017-03-19
2017-03-26,13415481.0,15067102.0,2017-03-26
2017-04-02,17003520.0,15573283.0,2017-04-02
2017-04-09,25966786.0,16532230.1,2017-04-09
2017-04-16,11827767.0,14819609.0,2017-04-16
2017-04-23,13959088.0,14701924.4,2017-04-23
2017-04-30,20582964.0,15184135.3,2017-04-30
2017-05-07,17998398.0,15656509.1,2017-05-07
2017-05-14,14425756.0,15863975.5,2017-05-14
2017-05-21,20092230.0,16710112.3,2017-05-21
2017-05-28,15548790.0,17082078.0,2017-05-28
2017-06-04,13257547.0,17066284.6,2017-06-04
2017-06-11,19028048.0,17268737.4,2017-06-11
2017-06-18,34388306.0,18110889.4,2017-06-18
2017-06-25,16768161.0,18604928.8,2017-06-25
2017-07-02,18347096.0,19043729.6,2017-07-02
2017-07-09,12307935.0,18216226.7,2017-07-09
2017-07-16,14833246.0,17899711.5,2017-07-16
2017-07-23,16173453.0,18074481.2,2017-07-23
2017-07-30,26003463.0,18665604.5,2017-07-30
2017-08-06,21592973.0,19270022.8,2017-08-06
2017-08-13,15273415.0,19471609.6,2017-08-13
2017-08-20,15261919.0,19094996.7,2017-08-20
2017-08-27,16696480.0,17325814.1,2017-08-27
2017-09-03,13947854.0,17043783.4,2017-09-03
2017-09-10,10096102.0,16218684.0,2017-09-10
2017-09-17,15380473.0,16525937.8,2017-09-17
2017-09-24,13573544.0,16399967.6,2017-09-24
2017-10-01,16565198.0,16439142.1,2017-10-01
2017-10-08,14359378.0,15274733.6,2017-10-08
2017-10-15,14757261.0,14591162.4,2017-10-15
2017-10-22,12110199.0,14274840.8,2017-10-22
2017-10-29,29132355.0,15661884.4,2017-10-29
2017-11-05,21012700.0,16093506.4,2017-11-05
2017-11-12,11761727.0,15874893.7,2017-11-12
2017-11-19,14361098.0,16301393.3,2017-11-19
2017-11-26,11626802.0,15926026.2,2017-11-26
2017-12-03,28821643.0,17450836.1,2017-12-03
2017-12-10,18028380.0,17597154.3,2017-12-10
2017-12-17,14620560.0,17623272.5,2017-12-17
2017-12-24,11237867.0,17271333.1,2017-12-24
2017-12-31,8172996.0,16877612.8,2017-12-31
2018-01-07,12063077.0,15170685.0,2018-01-07
2018-01-14,18919717.0,14961386.7,2018-01-14
2018-01-21,20613997.0,15846613.7,2018-01-21
2018-01-28,24962943.0,16906798.2,2018-01-28
2018-02-04,36314815.0,19375599.5,2018-02-04
2018-02-11,50493569.0,21542792.1,2018-02-11
2018-02-18,28431302.0,22583084.3,2018-02-18
2018-02-25,21664631.0,23287491.4,2018-02-25
2018-03-04,27466805.0,24910385.2,2018-03-04
2018-03-11,21899362.0,26283021.8,2018-03-11
2018-03-18,24879145.0,27564628.6,2018-03-18
2018-03-25,29572662.0,28629923.1,2018-03-25
2018-04-01,12340897.0,27802613.1,2018-04-01
